"Rank","Name","Team","Pos","Age","Andy","Jason","Mike"
"1","Ja'Marr Chase","CIN","WR","25.5","1","1","1"
"2","Justin Jefferson","MIN","WR","26.2","2","2","2"
"3","Malik Nabers","NYG","WR","22.1","3","3","4"
"4","CeeDee Lamb","DAL","WR","26.4","6","5","3"
"5","Bijan Robinson","ATL","RB","23.5","4","9","5"
"6","Puka Nacua","LAR","WR","24.2","10","4","6"
"7","Jahmyr Gibbs","DET","RB","23.4","5","10","7"
"8","Brian Thomas Jr.","JAX","WR","22.9","9","6","8"
"9","Amon-Ra St. Brown","DET","WR","25.8","8","7","10"
"10","Ashton Jeanty","LV","RB","21.7","7","11","9"
"11","Brock Bowers","LV","TE","22.7","12","8","11"
"12","Nico Collins","HOU","WR","26.4","11","12","12"
"13","Drake London","ATL","WR","24.1","14","14","13"
"14","Trey McBride","ARI","TE","25.7","17","13","17"
"15","Marvin Harrison Jr.","ARI","WR","23","18","17","18"
"16","Omarion Hampton","LAC","RB","22.4","20","16","21"
"17","De'Von Achane","MIA","RB","23.8","19","22","16"
"18","Bucky Irving","TB","RB","23","13","25","20"
"19","Saquon Barkley","PHI","RB","28.5","15","29","15"
"20","Josh Allen","BUF","QB","29.2","23","15","24"
"21","Ladd McConkey","LAC","WR","23.8","16","33","14"
"22","Jaxon Smith-Njigba","SEA","WR","23.5","21","18","26"
"23","Garrett Wilson","NYJ","WR","25.1","25","23","19"
"24","Jayden Daniels","WAS","QB","24.7","27","19","23"
"25","A.J. Brown","PHI","WR","28.1","24","20","28"
"26","Jonathan Taylor","IND","RB","26.6","22","32","22"
"27","Tee Higgins","CIN","WR","26.6","32","24","27"
"28","Lamar Jackson","BAL","QB","28.6","26","34","25"
"29","Tetairoa McMillan","CAR","WR","22.4","29","28","29"
"30","Travis Hunter","JAX","WR","22.2","30","30","30"
"31","Kyren Williams","LAR","RB","25","28","35","32"
"32","Jalen Hurts","PHI","QB","27","39","21","36"
"33","DeVonta Smith","PHI","WR","26.8","34","27","38"
"34","Joe Burrow","CIN","QB","28.7","35","37","34"
"35","Breece Hall","NYJ","RB","24.2","36","42","31"
"36","TreVeyon Henderson","NE","RB","22.8","51","26","33"
"37","Sam LaPorta","DET","TE","24.6","37","38","37"
"38","Rashee Rice","KC","WR","25.3","41","31","41"
"39","Rome Odunze","CHI","WR","23.2","40","36","46"
"40","Patrick Mahomes","KC","QB","29.9","45","39","40"
"41","Chase Brown","CIN","RB","25.4","31","63","35"
"42","Christian McCaffrey","SF","RB","29.2","43","40","49"
"43","Xavier Worthy","KC","WR","22.3","42","49","43"
"44","Zay Flowers","BAL","WR","24.9","46","48","42"
"45","James Cook","BUF","RB","25.9","33","67","39"
"46","DJ Moore","CHI","WR","28.3","52","44","44"
"47","Josh Jacobs","GB","RB","27.5","38","43","61"
"48","Jordan Addison","MIN","WR","23.6","47","46","53"
"49","Jaylen Waddle","MIA","WR","26.7","44","59","47"
"50","Chris Olave","NO","WR","25.1","53","51","50"
"51","Emeka Egbuka","TB","WR","22.8","60","45","52"
"52","Kenneth Walker III","SEA","RB","24.8","48","64","45"
"53","Kaleb Johnson","PIT","RB","22","70","41","51"
"54","Terry McLaurin","WAS","WR","29.9","49","58","56"
"55","DK Metcalf","PIT","WR","27.7","54","55","54"
"56","Jameson Williams","DET","WR","24.4","50","60","55"
"57","George Kittle","SF","TE","31.9","57","52","58"
"58","Tyler Warren","IND","TE","23.2","61","47","60"
"59","Colston Loveland","CHI","TE","21.4","56","54","59"
"60","Bo Nix","DEN","QB","25.5","66","57","57"
"61","Chuba Hubbard","CAR","RB","26.2","62","50","69"
"62","Quinshon Judkins","CLE","RB","21.8","78","56","48"
"63","Derrick Henry","BAL","RB","31.6","55","72","62"
"64","T.J. Hockenson","MIN","TE","28.1","64","53","73"
"65","RJ Harvey","DEN","RB","24.5","59","68","65"
"66","Jerry Jeudy","CLE","WR","26.3","68","65","71"
"67","Tyreek Hill","MIA","WR","31.5","65","77","67"
"68","Matthew Golden","GB","WR","22","77","61","72"
"69","Jordan Love","GB","QB","26.8","73","74","63"
"70","George Pickens","DAL","WR","24.5","72","69","70"
"71","Mike Evans","TB","WR","32","74","73","66"
"72","Justin Herbert","LAC","QB","27.4","58","70","90"
"73","Brandon Aiyuk","SF","WR","27.4","69","71","79"
"74","C.J. Stroud","HOU","QB","23.9","63","91","74"
"75","Ricky Pearsall","SF","WR","24.9","76","75","78"
