"Name","Team","Rank","Andy","Jason","Mike"
"Lamar Jackson","BAL","1","2","1","2"
"Josh Allen","BUF","2","1","3","1"
"Jalen Hurts","PHI","3","5","2","3"
"Joe Burrow","CIN","4","3","5","4"
"Jayden Daniels","WAS","5","4","4","5"
"Bo Nix","DEN","6","12","6","7"
"Patrick Mahomes","KC","7","11","7","8"
"Kyler Murray","ARI","8","9","8","10"
"Dak Prescott","DAL","9","8","11","9"
"Justin Herbert","LAC","10","10","9","13"
"Justin Fields","NYJ","11","16","10","6"
"Baker Mayfield","TB","12","6","13","14"
"Jordan Love","GB","13","7","20","11"
"Caleb Williams","CHI","14","13","14","15"
"Drake Maye","NE","15","14","12","22"
"Jared Goff","DET","16","17","15","19"
"Brock Purdy","SF","17","15","17","20"
"J.J. McCarthy","MIN","18","19","23","12"
"Trevor Lawrence","JAX","19","25","16","17"
"Geno Smith","LV","20","20","22","16"
"C.J. Stroud","HOU","21","22","19","21"
"Tua Tagovailoa","MIA","22","18","21","25"
"Bryce Young","CAR","23","28","18","18"
"Sam Darnold","SEA","24","21","28","26"
"Aaron Rodgers","PIT","25","23","26","28"
"Matthew Stafford","LAR","26","30","24","24"
"Michael Penix Jr.","ATL","27","24","27","29"
"Cam Ward","TEN","28","29","25","27"
"Anthony Richardson Sr.","IND","29","31","30","23"
"Tyler Shough","NO","30","26","31","30"
"Russell Wilson","NYG","31","27","29","32"
"Daniel Jones","IND","32","32","33","34"
"Joe Flacco","CLE","33","33","36","31"
"Kenny Pickett","CLE","34","34","32","35"
"Jaxson Dart","NYG","35","35","34","33"
"Jalen Milroe","SEA","36","36","35","36"
