"Name","Team","Rank","Andy","Jason","Mike"
"Brock Bowers","LV","1","1","2","1"
"Trey McBride","ARI","2","3","1","2"
"George Kittle","SF","3","2","3","3"
"Travis Kelce","KC","4","4","4","4"
"T.J. Hockenson","MIN","5","5","5","5"
"Sam LaPorta","DET","6","7","6","6"
"David Njoku","CLE","7","6","7","7"
"Evan Engram","DEN","8","8","8","8"
"Tucker Kraft","GB","9","10","15","9"
"Mark Andrews","BAL","10","9","11","15"
"Jake Ferguson","DAL","11","13","9","13"
"Mike Gesicki","CIN","12","11","14","17"
"Tyler Warren","IND","13","12","19","12"
"Colston Loveland","CHI","14","22","10","11"
"Dalton Kincaid","BUF","15","17","23","10"
"Dallas Goedert","PHI","16","25","13","16"
"Jonnu Smith","PIT","17","19","17","18"
"Hunter Henry","NE","18","14","25","20"
"Juwan Johnson","NO","19","24","24","14"
"Cade Otton","TB","20","16","16","30"
"Chig Okonkwo","TEN","21","18","20","27"
"Darren Waller","MIA","22","20","22","25"
"Isaiah Likely","BAL","23","23","28","19"
"Mason Taylor","NYJ","24","15","29","26"
"Zach Ertz","WAS","25","29","21","21"
"Pat Freiermuth","PIT","26","21","26","24"
"Brenton Strange","JAX","27","27","30","23"
"Elijah Arroyo","SEA","28","28","18","36"
"Dalton Schultz","HOU","29","30","31","29"
"Theo Johnson","NYG","30","31","27","34"
"Noah Gray","KC","31","26","35","31"
"Ja'Tavion Sanders","CAR","32","35","36","22"
"Kyle Pitts Sr.","ATL","33","42","12","42"
"Tyler Conklin","LAC","34","36","33","32"
"Tyler Higbee","LAR","35","34","34","33"
"Ben Sinnott","WAS","36","33","37","35"
"Cole Kmet","CHI","37","39","38","28"
"Will Dissly","LAC","38","32","39","37"
"Terrance Ferguson","LAR","39","38","32","41"
"Harold Fannin Jr.","CLE","40","37","40","40"
"Tommy Tremble","CAR","41","40","41","39"
"Dawson Knox","BUF","42","41","42","38"
