"Name","Team","Rank","Andy","Jason","Mike"
"Ja'Marr Chase","CIN","1","1","1","1"
"CeeDee Lamb","DAL","2","3","2","3"
"Justin Jefferson","MIN","3","2","4","2"
"Amon-Ra St. Brown","DET","4","4","3","7"
"Puka Nacua","LAR","5","5","6","4"
"Malik Nabers","NYG","6","6","5","6"
"Nico Collins","HOU","7","8","8","5"
"Brian Thomas Jr.","JAX","8","12","7","8"
"A.J. Brown","PHI","9","9","10","10"
"Drake London","ATL","10","10","9","14"
"Jaxon Smith-Njigba","SEA","11","7","14","13"
"Tee Higgins","CIN","12","15","11","11"
"Marvin Harrison Jr.","ARI","13","11","13","16"
"Tyreek Hill","MIA","14","13","16","15"
"Ladd McConkey","LAC","15","17","20","9"
"Garrett Wilson","NYJ","16","20","15","12"
"Mike Evans","TB","17","22","12","21"
"Davante Adams","LAR","18","21","18","17"
"DJ Moore","CHI","19","18","17","23"
"DK Metcalf","PIT","20","14","19","25"
"Terry McLaurin","WAS","21","16","25","20"
"DeVonta Smith","PHI","22","28","21","18"
"Courtland Sutton","DEN","23","27","22","19"
"Jameson Williams","DET","24","19","26","29"
"Jaylen Waddle","MIA","25","24","24","27"
"George Pickens","DAL","26","33","23","24"
"Xavier Worthy","KC","27","25","30","28"
"Zay Flowers","BAL","28","30","31","22"
"Rome Odunze","CHI","29","23","33","41"
"Jerry Jeudy","CLE","30","29","35","34"
"Chris Olave","NO","31","34","27","37"
"Jakobi Meyers","LV","32","26","43","32"
"Tetairoa McMillan","CAR","33","36","32","33"
"Calvin Ridley","TEN","34","32","29","42"
"Jauan Jennings","SF","35","37","40","31"
"Stefon Diggs","NE","36","42","41","26"
"Khalil Shakir","BUF","37","45","36","36"
"Jayden Reed","GB","38","35","44","39"
"Ricky Pearsall","SF","39","31","34","53"
"Rashee Rice","KC","40","48","28","45"
"Travis Hunter","JAX","41","39","38","46"
"Josh Downs","IND","42","44","51","30"
"Cooper Kupp","SEA","43","40","37","49"
"Michael Pittman Jr.","IND","44","43","46","40"
"Darnell Mooney","ATL","45","50","42","38"
"Keenan Allen","LAC","46","52","39","48"
"Jordan Addison","MIN","47","49","49","44"
"Emeka Egbuka","TB","48","46","54","43"
"Deebo Samuel Sr.","WAS","49","38","45","64"
"Wan'Dale Robinson","NYG","50","51","52","47"
"Cedric Tillman","CLE","51","61","53","50"
"Jayden Higgins","HOU","52","53","55","57"
"Matthew Golden","GB","53","41","48","78"
"Adam Thielen","CAR","54","74","59","35"
"Chris Godwin","TB","55","71","47","51"
"DeMario Douglas","NE","56","55","64","54"
"Quentin Johnston","LAC","57","56","58","61"
"Keon Coleman","BUF","58","60","50","67"
"Rashid Shaheed","NO","59","62","66","52"
"Rashod Bateman","BAL","60","47","73","65"
"Xavier Legette","CAR","61","64","62","62"
"Marquise Brown","KC","62","58","68","63"
"Luther Burden III","CHI","63","54","78","75"
"Romeo Doubs","GB","64","90","57","60"
"Michael Wilson","ARI","65","68","72","68"
"Tyler Lockett","TEN","66","69","75","69"
"Andrei Iosivas","CIN","67","80","56","79"
"Dont'e Thornton Jr.","LV","68","57","88","74"
"Marvin Mims Jr.","DEN","69","59","70","90"
"Christian Kirk","HOU","70","75","80","66"
"Kyle Williams","NE","71","81","69","72"
"Elic Ayomanor","TEN","72","73","65","84"
"Calvin Austin III","PIT","73","66","76","81"
"Alec Pierce","IND","74","79","87","58"
"Darius Slayton","NYG","75","72","84","76"
"Jack Bech","LV","76","94","71","70"
"Jalen McMillan","TB","77","70","97","73"
"Ray-Ray McCloud III","ATL","78","83","79","80"
"Devaughn Vele","DEN","79","67","74","101"
"Josh Reynolds","NYJ","80","63","94","87"
"DeAndre Hopkins","BAL","81","65","81","99"
"Jordan Whittington","LAR","82","92","99","55"
"Pat Bryant","DEN","83","76","85","85"
"Dontayvion Wicks","GB","84","99","77","71"
"Tory Horton","SEA","85","84","82","82"
"Malik Washington","MIA","86","87","106","56"
"Brandon Aiyuk","SF","87","91","63","95"
"Jalen Coker","CAR","88","98","60","93"
"Kayshon Boutte","NE","89","93","61","100"
"Allen Lazard","NYJ","90","105","92","59"
"Joshua Palmer","BUF","91","77","95","86"
"Dyami Brown","JAX","92","82","93","92"
"Brandin Cooks","NO","93","88","103","77"
"Jalen Nailor","MIN","94","95","91","83"
"Jalen Tolbert","DAL","95","78","86","105"
"Roman Wilson","PIT","96","107","67","96"
"Tre Tucker","LV","97","86","89","98"
"Adonai Mitchell","IND","98","96","102","88"
"Tre Harris","LAC","99","100","100","89"
"Greg Dortch","ARI","100","85","98","106"
"Troy Franklin","DEN","101","104","90","97"
"Demarcus Robinson","SF","102","89","96","109"
"Jaylin Noel","HOU","103","109","83","103"
"Zay Jones","ARI","104","103","105","91"
"Jahan Dotson","PHI","105","97","108","102"
"Chimere Dike","TEN","106","101","101","110"
"Jaylin Lane","WAS","107","102","104","111"
"Jake Bobo","SEA","108","110","113","94"
"Isaac TeSlaa","DET","109","106","109","108"
"Christian Watson","GB","110","112","110","104"
"Michael Gallup","WAS","111","113","107","112"
"Arian Smith","NYJ","112","108","111","113"
"Ja'Lynn Polk","NE","113","114","114","107"
"Xavier Restrepo","TEN","114","111","112","114"
