"Name","Team","Games Played","RB PTS%","ATT%","YD%","TD%","TGT%","REC%","YD%","TD%"
"Kyren Williams","LAR","16","89.0","82.7","84.0","100.0","8.0","10.0","4.8","10.0"
"Jonathan Taylor","IND","14","88.4","92.4","94.6","91.7","8.0","8.1","4.7","6.7"
"Saquon Barkley","PHI","16","86.7","79.9","85.8","92.9","11.4","12.0","8.6","9.1"
"Chuba Hubbard","CAR","15","82.4","81.4","85.9","90.9","11.7","14.3","5.8","5.9"
"Alvin Kamara","NO","14","80.9","74.8","75.9","75.0","23.1","26.6","18.5","10.5"
"Joe Mixon","HOU","14","78.3","79.0","70.7","84.6","12.1","13.1","10.4","6.3"
"Bijan Robinson","ATL","17","75.5","67.0","68.3","82.4","13.4","16.8","10.1","4.8"
"Chase Brown","CIN","16","75.2","73.6","77.5","77.8","11.2","12.8","7.8","9.8"
"Derrick Henry","BAL","17","73.0","81.9","86.9","88.9","4.8","6.0","4.6","4.9"
"Rico Dowdle","DAL","16","72.2","71.4","77.8","50.0","8.4","10.5","6.5","14.3"
"J.K. Dobbins","LAC","13","72.1","62.1","71.4","75.0","10.2","12.7","5.0","0.0"
"Kenneth Walker III","SEA","11","71.5","76.1","78.7","77.8","13.8","16.8","10.1","7.1"
"D'Andre Swift","CHI","17","70.2","77.8","83.3","46.2","9.9","11.9","10.9","0.0"
"Aaron Jones","MIN","17","69.9","67.1","70.0","71.4","12.0","14.0","9.3","5.7"
"De'Von Achane","MIA","17","69.6","53.1","60.1","66.7","15.3","18.9","14.7","27.3"
"Breece Hall","NYJ","16","68.9","67.4","67.3","71.4","13.8","15.9","13.1","10.0"
"Josh Jacobs","GB","17","68.7","67.5","65.5","75.0","9.3","11.7","8.7","3.6"
"James Conner","ARI","16","66.8","67.6","63.5","80.0","11.2","13.5","11.4","5.9"
"Tony Pollard","TEN","16","66.0","75.6","78.0","55.6","12.0","13.0","6.9","0.0"
"Christian McCaffrey","SF","4","65.2","66.7","62.3","0.0","18.1","20.3","18.1","0.0"
