"Name","Team","Games Played","TE PTS%","TGT%","REC%","YD%","TD%"
"Cade Otton","TB","14","96.3","19.0","17.9","16.6","12.5"
"Tyler Higbee","LAR","3","95.4","13.8","13.8","10.4","66.7"
"George Kittle","SF","15","93.4","20.7","25.5","27.8","42.1"
"Kyle Pitts Sr.","ATL","17","92.2","13.7","12.9","14.1","19.0"
"Cole Kmet","CHI","17","92.1","10.4","13.3","13.3","20.0"
"Tucker Kraft","GB","17","90.3","15.1","16.2","17.9","25.0"
"Sam LaPorta","DET","16","87.3","17.0","16.2","17.1","21.2"
"Zach Ertz","WAS","17","86.9","18.1","18.1","16.6","25.0"
"Jonnu Smith","MIA","17","86.4","19.5","21.3","21.9","36.4"
"Brock Bowers","LV","17","84.0","25.9","27.4","29.2","26.3"
"Theo Johnson","NYG","12","82.6","11.1","11.1","13.5","12.5"
"Trey McBride","ARI","16","82.3","29.3","31.0","30.8","10.0"
"Dallas Goedert","PHI","10","76.4","19.3","21.9","22.7","16.7"
"Dalton Schultz","HOU","17","76.3","15.6","14.8","13.5","10.0"
"Tyler Conklin","NYJ","16","75.7","12.8","13.8","12.0","14.3"
"Evan Engram","JAX","9","74.6","25.1","28.3","20.1","12.5"
"David Njoku","CLE","11","74.3","22.8","24.1","18.0","33.3"
"Jake Ferguson","DAL","14","73.2","16.9","18.3","14.8","0.0"
"Will Dissly","LAC","15","72.2","15.0","17.2","14.1","10.5"
"Pat Freiermuth","PIT","17","68.8","17.0","20.2","18.1","33.3"
"Tommy Tremble","CAR","12","66.6","8.3","8.9","8.9","11.1"
"Dalton Kincaid","BUF","13","65.7","20.2","17.7","14.7","8.7"
"T.J. Hockenson","MIN","10","60.3","18.2","17.4","16.6","0.0"
"Travis Kelce","KC","16","60.1","24.1","24.8","20.9","12.0"
"Ja'Tavion Sanders","CAR","16","59.5","9.0","10.5","11.0","4.8"
"Hunter Henry","NE","16","58.5","20.6","20.8","21.9","12.5"
"Noah Fant","SEA","14","57.8","13.4","13.9","14.1","5.9"
"Mike Gesicki","CIN","17","56.4","13.2","14.2","13.5","4.8"
"Colby Parkinson","LAR","17","56.4","9.1","8.2","7.2","4.5"
