"Name","Team","Games Played","WR PTS%","TGT%","REC%","YD%","TD%"
"A.J. Brown","PHI","13","54.3","34.4","32.7","41.6","35.0"
"Brian Thomas Jr.","JAX","17","54.0","25.5","25.4","34.4","52.6"
"Malik Nabers","NYG","15","54.0","34.9","34.0","39.4","53.8"
"Ja'Marr Chase","CIN","17","52.9","27.9","27.7","34.7","40.5"
"Rashid Shaheed","NO","6","51.1","24.8","17.9","28.0","33.3"
"Jakobi Meyers","LV","15","50.7","24.9","24.1","28.1","22.2"
"Nico Collins","HOU","12","49.8","24.8","25.0","33.9","46.7"
"George Pickens","PIT","14","49.4","26.5","21.9","29.0","18.8"
"Tyreek Hill","MIA","17","48.3","21.7","19.6","23.8","27.3"
"Marvin Harrison Jr.","ARI","17","48.1","22.2","16.6","22.9","38.1"
"Terry McLaurin","WAS","17","47.9","23.3","22.5","27.9","46.4"
"Justin Jefferson","MIN","17","47.8","29.8","28.3","35.0","28.6"
"Jerry Jeudy","CLE","17","47.5","22.9","22.8","31.7","21.1"
"Davante Adams","LV","14","47.5","29.5","26.0","31.1","32.0"
"Rashee Rice","KC","4","47.3","25.9","29.6","32.0","40.0"
"DeVonta Smith","PHI","13","46.0","28.6","29.4","29.8","42.1"
"Amon-Ra St. Brown","DET","17","45.7","27.2","29.0","26.9","32.4"
"Chris Godwin","TB","7","45.3","26.6","30.3","31.1","27.8"
"CeeDee Lamb","DAL","15","45.1","27.3","28.1","32.3","27.3"
"Drake London","ATL","17","44.1","29.3","27.5","29.7","42.9"
"Zay Flowers","BAL","17","43.6","25.4","23.3","25.3","9.8"
"Ladd McConkey","LAC","16","42.5","24.3","26.1","31.2","31.8"
"Jaxon Smith-Njigba","SEA","17","41.2","24.1","24.2","25.8","28.6"
"Calvin Ridley","TEN","17","41.2","23.7","19.1","28.1","18.2"
"Puka Nacua","LAR","11","40.5","29.9","32.6","36.8","16.7"
"Jauan Jennings","SF","15","40.3","24.7","24.5","24.7","27.3"
"Garrett Wilson","NYJ","17","40.2","26.1","26.2","27.5","22.6"
