"Name","Team","ATT","ATT%","TDS","TD%","TEAM%","ATT","ATT%","TDS","TD%","TEAM%"
"Josh Jacobs","GB","41","13.6%","14","93.3%","69.5%","22","7.3%","11","73.3%","66.7%"
"Derrick Henry","BAL","32","9.8%","13","81.3%","69.6%","20","6.2%","10","62.5%","90.9%"
"Chuba Hubbard","CAR","27","10.8%","7","70.0%","71.1%","20","8.0%","7","70.0%","80.0%"
"Kyren Williams","LAR","32","10.1%","12","85.7%","78.0%","19","6.0%","11","78.6%","73.1%"
"Jonathan Taylor","IND","31","10.2%","7","63.6%","56.4%","18","5.9%","6","54.5%","50.0%"
"Kareem Hunt","KC","24","12.0%","7","100.0%","80.0%","17","8.5%","6","85.7%","85.0%"
"Saquon Barkley","PHI","28","8.1%","4","30.8%","43.8%","17","4.9%","4","30.8%","43.6%"
"David Montgomery","DET","33","17.8%","11","91.7%","50.8%","17","9.2%","8","66.7%","44.7%"
"Jalen Hurts","PHI","26","17.3%","13","92.9%","40.6%","17","11.3%","11","78.6%","43.6%"
"Jahmyr Gibbs","DET","26","10.4%","10","62.5%","40.0%","17","6.8%","9","56.3%","44.7%"
"Bijan Robinson","ATL","32","10.5%","11","78.6%","64.0%","15","4.9%","10","71.4%","65.2%"
"James Cook","BUF","29","14.0%","11","68.8%","48.3%","15","7.2%","7","43.8%","46.9%"
"De'Von Achane","MIA","24","11.8%","4","66.7%","60.0%","15","7.4%","3","50.0%","71.4%"
"Joe Mixon","HOU","29","11.8%","8","72.7%","74.4%","13","5.3%","6","54.5%","81.3%"
"Aaron Jones","MIN","24","9.4%","3","60.0%","66.7%","13","5.1%","3","60.0%","65.0%"
"Najee Harris","PIT","26","9.9%","5","83.3%","51.0%","13","4.9%","3","50.0%","44.8%"
"Zach Charbonnet","SEA","17","12.6%","6","75.0%","48.6%","13","9.6%","4","50.0%","48.1%"
"Brian Robinson Jr.","WAS","24","12.8%","7","87.5%","34.8%","13","7.0%","4","50.0%","38.2%"
"Chase Brown","CIN","29","12.7%","6","85.7%","64.4%","13","5.7%","6","85.7%","52.0%"
"Bucky Irving","TB","22","10.6%","6","75.0%","52.4%","13","6.3%","4","50.0%","52.0%"
"James Conner","ARI","21","8.9%","8","100.0%","77.8%","12","5.1%","6","75.0%","75.0%"
"Rhamondre Stevenson","NE","18","8.7%","5","71.4%","62.1%","12","5.8%","5","71.4%","63.2%"
"Kenneth Walker III","SEA","15","9.8%","4","57.1%","45.5%","12","7.8%","4","57.1%","46.2%"
"Alvin Kamara","NO","17","7.5%","5","83.3%","54.8%","11","4.8%","4","66.7%","64.7%"
"Josh Allen","BUF","18","17.6%","10","83.3%","30.0%","11","10.8%","7","58.3%","34.4%"
"Tank Bigsby","JAX","21","12.5%","5","71.4%","52.5%","11","6.5%","4","57.1%","50.0%"
"Jayden Daniels","WAS","16","10.8%","5","83.3%","23.2%","11","7.4%","4","66.7%","32.4%"
"Alexander Mattison","LV","13","9.8%","3","75.0%","39.4%","10","7.6%","3","75.0%","50.0%"
"D'Andre Swift","CHI","18","7.1%","3","50.0%","56.3%","10","4.0%","3","50.0%","43.5%"
"Javonte Williams","DEN","13","9.4%","3","75.0%","39.4%","10","7.2%","2","50.0%","40.0%"
"Anthony Richardson Sr.","IND","13","15.1%","5","83.3%","23.6%","10","11.6%","5","83.3%","27.8%"
"J.K. Dobbins","LAC","17","8.7%","5","55.6%","42.5%","9","4.6%","4","44.4%","42.9%"
"Jordan Mason","SF","19","12.4%","3","100.0%","50.0%","9","5.9%","2","66.7%","45.0%"
"Roschon Johnson","CHI","10","18.2%","6","100.0%","31.3%","9","16.4%","6","100.0%","39.1%"
"Zack Moss","CIN","11","14.9%","2","100.0%","47.8%","8","10.8%","2","100.0%","57.1%"
"Breece Hall","NYJ","10","4.8%","3","60.0%","62.5%","8","3.8%","3","60.0%","80.0%"
"Rachaad White","TB","13","9.0%","3","100.0%","31.0%","8","5.6%","2","66.7%","32.0%"
"Hassan Haskins","LAC","11","32.4%","2","100.0%","23.9%","8","23.5%","2","100.0%","30.8%"
"Trey Sermon","IND","7","12.5%","2","100.0%","12.7%","7","12.5%","2","100.0%","19.4%"
"Justin Fields","PIT","10","16.1%","5","100.0%","19.6%","7","11.3%","4","80.0%","24.1%"
"D'Onta Foreman","CLE","9","12.7%","0","0.0%","28.1%","6","8.5%","0","0.0%","33.3%"
"Nick Chubb","CLE","10","9.8%","3","100.0%","76.9%","6","5.9%","3","100.0%","85.7%"
"Gus Edwards","LAC","12","11.9%","4","100.0%","30.8%","6","5.9%","4","100.0%","26.1%"
"Daniel Jones","NYG","7","10.4%","2","100.0%","33.3%","6","9.0%","2","100.0%","50.0%"
"Brock Purdy","SF","10","15.2%","5","100.0%","17.9%","6","9.1%","3","60.0%","20.7%"
"Tyler Allgeier","ATL","13","9.5%","3","100.0%","26.0%","6","4.4%","1","33.3%","26.1%"
"Bo Nix","DEN","6","6.5%","4","100.0%","18.2%","6","6.5%","4","100.0%","24.0%"
"Ezekiel Elliott","DAL","8","10.8%","3","100.0%","40.0%","5","6.8%","3","100.0%","45.5%"
"Austin Ekeler","WAS","11","14.3%","3","75.0%","22.0%","5","6.5%","3","75.0%","19.2%"
"Tony Pollard","TEN","14","5.4%","3","60.0%","56.0%","5","1.9%","2","40.0%","50.0%"
"Devin Singletary","NYG","9","8.0%","4","100.0%","27.3%","5","4.4%","3","75.0%","25.0%"
"Travis Etienne Jr.","JAX","10","6.7%","2","100.0%","25.0%","5","3.3%","2","100.0%","22.7%"
"Rico Dowdle","DAL","10","4.3%","2","100.0%","38.5%","5","2.1%","2","100.0%","33.3%"
"Blake Corum","LAR","6","10.3%","0","0.0%","14.6%","5","8.6%","0","0.0%","19.2%"
"Emanuel Wilson","GB","8","7.8%","3","75.0%","13.6%","5","4.9%","3","75.0%","15.2%"
"Isaac Guerendo","SF","10","11.9%","3","75.0%","17.9%","5","6.0%","3","75.0%","17.2%"
"Tyrone Tracy Jr.","NYG","10","5.2%","3","60.0%","30.3%","5","2.6%","3","60.0%","25.0%"
"Ameer Abdullah","LV","8","12.1%","2","100.0%","24.2%","4","6.1%","1","50.0%","20.0%"
"Raheem Mostert","MIA","10","11.8%","2","100.0%","25.0%","4","4.7%","1","50.0%","19.0%"
"Cam Akers","MIN","4","3.8%","1","50.0%","11.8%","4","3.8%","1","50.0%","21.1%"
"Khalil Herbert","CIN","5","13.9%","1","100.0%","11.9%","4","11.1%","1","100.0%","15.4%"
"Jaylen Warren","PIT","6","5.0%","1","100.0%","11.8%","4","3.3%","1","100.0%","13.8%"
"Tyjae Spears","TEN","6","7.1%","3","75.0%","24.0%","4","4.8%","2","50.0%","40.0%"
"Carson Steele","KC","6","10.7%","0","0.0%","15.0%","4","7.1%","0","0.0%","14.3%"
"Russell Wilson","PIT","7","16.3%","2","100.0%","13.7%","3","7.0%","2","100.0%","10.3%"
"Derek Carr","NO","3","17.6%","1","100.0%","9.7%","3","17.6%","1","100.0%","17.6%"
"Michael Burton","DEN","4","57.1%","1","100.0%","12.1%","3","42.9%","1","100.0%","12.0%"
"Justin Herbert","LAC","4","5.8%","2","100.0%","8.7%","3","4.3%","2","100.0%","11.5%"
"Joe Burrow","CIN","3","7.1%","1","50.0%","6.7%","3","7.1%","1","50.0%","12.0%"
"Patrick Taylor Jr.","SF","5","12.8%","1","100.0%","9.6%","3","7.7%","1","100.0%","11.1%"
"Antonio Gibson","NE","5","4.2%","0","0.0%","17.2%","3","2.5%","0","0.0%","15.8%"
"Trevor Lawrence","JAX","4","15.4%","3","100.0%","13.3%","3","11.5%","2","66.7%","18.8%"
"Michael Carter","ARI","3","8.6%","1","100.0%","75.0%","3","8.6%","1","100.0%","100.0%"
"Kenneth Gainwell","PHI","8","10.7%","0","0.0%","12.5%","3","4.0%","0","0.0%","7.7%"
"Malik Willis","GB","3","15.0%","1","100.0%","5.1%","3","15.0%","1","100.0%","9.1%"
"Bryce Young","CAR","7","16.3%","5","83.3%","17.1%","3","7.0%","2","33.3%","11.1%"
"Eric Gray","NYG","3","21.4%","0","0.0%","9.1%","3","21.4%","0","0.0%","15.0%"
"Jerome Ford","CLE","7","6.7%","2","66.7%","22.6%","3","2.9%","2","66.7%","16.7%"
"Isiah Pacheco","KC","5","6.0%","1","100.0%","41.7%","3","3.6%","1","100.0%","37.5%"
"Sean Tucker","TB","3","6.0%","2","100.0%","7.1%","3","6.0%","2","100.0%","12.0%"
"Jaleel McLaughlin","DEN","6","5.3%","1","100.0%","18.2%","3","2.7%","1","100.0%","12.0%"
"Audric Estime","DEN","4","5.3%","2","100.0%","17.4%","3","3.9%","2","100.0%","18.8%"
"Ray Davis","BUF","7","6.2%","2","66.7%","11.7%","3","2.7%","2","66.7%","9.4%"
"Geno Smith","SEA","3","5.7%","1","50.0%","8.6%","2","3.8%","0","0.0%","7.4%"
"Kyle Juszczyk","SF","3","60.0%","1","100.0%","5.4%","2","40.0%","0","0.0%","6.9%"
"Jared Goff","DET","2","5.7%","0","0.0%","3.1%","2","5.7%","0","0.0%","5.3%"
"Dak Prescott","DAL","2","15.4%","1","100.0%","16.7%","2","15.4%","1","100.0%","28.6%"
"Deshaun Watson","CLE","2","6.5%","1","100.0%","16.7%","2","6.5%","1","100.0%","22.2%"
"Jeremy McNichols","WAS","7","12.7%","3","75.0%","10.1%","2","3.6%","2","50.0%","5.9%"
"Taysom Hill","NO","6","15.4%","4","66.7%","21.4%","2","5.1%","2","33.3%","12.5%"
"Sam Darnold","MIN","4","6.0%","1","100.0%","11.1%","2","3.0%","1","100.0%","10.0%"
"Ty Johnson","BUF","3","7.3%","1","100.0%","5.0%","2","4.9%","1","100.0%","6.3%"
"Deebo Samuel Sr.","SF","5","11.9%","1","100.0%","8.9%","2","4.8%","1","100.0%","6.9%"
"Miles Sanders","CAR","3","5.5%","2","100.0%","13.6%","2","3.6%","2","100.0%","13.3%"
"Jordan Love","GB","4","16.0%","1","100.0%","6.8%","2","8.0%","1","100.0%","6.1%"
"Mac Jones","JAX","2","7.1%","1","100.0%","5.0%","2","7.1%","1","100.0%","9.1%"
"Kenny Pickett","PHI","2","22.2%","1","100.0%","3.1%","2","22.2%","1","100.0%","5.1%"
"Zamir White","LV","6","9.2%","1","100.0%","21.4%","2","3.1%","1","100.0%","11.8%"
"Sincere McCormick","LV","2","5.1%","0","0.0%","25.0%","2","5.1%","0","0.0%","40.0%"
"Chris Rodriguez Jr.","WAS","9","25.7%","2","100.0%","19.1%","2","5.7%","1","50.0%","8.3%"
"C.J. Stroud","HOU","3","5.8%","0","0.0%","7.7%","2","3.8%","0","0.0%","12.5%"
"Michael Penix Jr.","ATL","2","28.6%","1","100.0%","4.0%","2","28.6%","1","100.0%","8.7%"
"Braelon Allen","NYJ","5","5.4%","1","50.0%","31.3%","2","2.2%","1","50.0%","20.0%"
"Joe Milton III","NE","2","20.0%","1","100.0%","6.9%","2","20.0%","1","100.0%","10.5%"
"Matthew Stafford","LAR","1","3.3%","0","0.0%","2.4%","1","3.3%","0","0.0%","3.8%"
"Travis Kelce","KC","1","100.0%","0","0.0%","2.5%","1","100.0%","0","0.0%","3.6%"
"Cordarrelle Patterson","PIT","1","3.1%","0","0.0%","2.0%","1","3.1%","0","0.0%","3.4%"
"Jameis Winston","CLE","3","12.0%","1","100.0%","9.4%","1","4.0%","1","100.0%","5.6%"
"Marcus Mariota","WAS","2","11.1%","1","100.0%","4.0%","1","5.6%","1","100.0%","3.8%"
"Jacoby Brissett","NE","1","6.7%","0","0.0%","3.4%","1","6.7%","0","0.0%","5.3%"
"C.J. Ham","MIN","1","50.0%","1","100.0%","2.8%","1","50.0%","1","100.0%","5.0%"
"Christian McCaffrey","SF","1","2.0%","0","0.0%","14.3%","1","2.0%","0","0.0%","20.0%"
"Patrick Mahomes","KC","2","3.4%","1","50.0%","5.0%","1","1.7%","1","50.0%","3.6%"
"Samaje Perine","KC","1","5.0%","1","100.0%","2.5%","1","5.0%","1","100.0%","3.6%"
"Jamaal Williams","NO","4","8.3%","0","0.0%","12.9%","1","2.1%","0","0.0%","5.9%"
"Joshua Dobbs","SF","3","33.3%","2","100.0%","5.4%","1","11.1%","1","50.0%","3.4%"
"David Moore","CAR","1","100.0%","0","0.0%","2.4%","1","100.0%","0","0.0%","3.7%"
"Lamar Jackson","BAL","9","6.5%","3","75.0%","19.6%","1","0.7%","0","0.0%","4.5%"
"Baker Mayfield","TB","4","6.7%","2","66.7%","9.5%","1","1.7%","1","33.3%","4.0%"
"Justice Hill","BAL","3","6.4%","0","0.0%","6.5%","1","2.1%","0","0.0%","4.5%"
"Alec Ingold","MIA","1","10.0%","1","100.0%","2.5%","1","10.0%","1","100.0%","4.8%"
"Drew Lock","NYG","2","11.1%","2","100.0%","6.1%","1","5.6%","1","50.0%","5.0%"
"Kyler Murray","ARI","2","2.6%","1","20.0%","6.9%","1","1.3%","1","20.0%","5.6%"
"Drew Sample","CIN","1","100.0%","0","0.0%","2.2%","1","100.0%","0","0.0%","4.0%"
"D'Ernest Johnson","JAX","3","9.4%","0","0.0%","7.5%","1","3.1%","0","0.0%","4.5%"
"Tyler Huntley","MIA","1","3.8%","1","50.0%","4.8%","1","3.8%","1","50.0%","7.1%"
"Reggie Gilliam","BUF","1","33.3%","0","0.0%","1.7%","1","33.3%","0","0.0%","3.1%"
"Trey Lance","DAL","1","9.1%","0","0.0%","3.8%","1","9.1%","0","0.0%","6.7%"
"Jermar Jefferson","DET","3","50.0%","0","0.0%","25.0%","1","16.7%","0","0.0%","20.0%"
"Chris Brooks","GB","2","5.6%","1","100.0%","3.6%","1","2.8%","1","100.0%","3.3%"
"Jameson Williams","DET","1","9.1%","1","100.0%","1.8%","1","9.1%","1","100.0%","2.9%"
"Trey McBride","ARI","1","100.0%","1","50.0%","3.4%","1","100.0%","1","50.0%","5.6%"
"Tyler Goodson","IND","4","12.5%","1","100.0%","7.3%","1","3.1%","0","0.0%","2.8%"
"Jalen Nailor","MIN","1","33.3%","0","0.0%","2.8%","1","33.3%","0","0.0%","5.0%"
"Julius Chestnut","TEN","2","9.1%","0","0.0%","8.0%","1","4.5%","0","0.0%","10.0%"
"Aaron Shampklin","PIT","1","16.7%","0","0.0%","6.3%","1","16.7%","0","0.0%","10.0%"
"Puka Nacua","LAR","1","9.1%","1","100.0%","4.0%","1","9.1%","1","100.0%","6.3%"
"Tre Tucker","LV","1","11.1%","1","100.0%","3.0%","1","11.1%","1","100.0%","5.0%"
"Deuce Vaughn","DAL","1","5.9%","0","0.0%","3.8%","1","5.9%","0","0.0%","6.7%"
"Hunter Luepke","DAL","2","16.7%","0","0.0%","7.7%","1","8.3%","0","0.0%","6.7%"
"Trey Benson","ARI","1","1.6%","1","100.0%","3.7%","1","1.6%","1","100.0%","6.3%"
"Aidan O'Connell","LV","1","4.8%","1","100.0%","4.5%","1","4.8%","1","100.0%","7.7%"
"Xavier Worthy","KC","1","5.0%","1","33.3%","2.5%","1","5.0%","1","33.3%","3.6%"
"Jonathon Brooks","CAR","2","22.2%","0","0.0%","13.3%","1","11.1%","0","0.0%","11.1%"
"Drake Maye","NE","2","3.7%","1","50.0%","6.9%","1","1.9%","1","50.0%","5.3%"
"Josh Johnson","BAL","1","25.0%","0","0.0%","2.2%","0","0.0%","0","0.0%","0.0%"
"Tyrod Taylor","NYJ","1","33.3%","0","0.0%","6.3%","0","0.0%","0","0.0%","0.0%"
"Kirk Cousins","ATL","3","13.0%","0","0.0%","6.0%","0","0.0%","0","0.0%","0.0%"
"Stefon Diggs","HOU","1","33.3%","1","100.0%","5.9%","0","0.0%","0","0.0%","0.0%"
"Mitchell Trubisky","BUF","1","5.9%","0","0.0%","1.7%","0","0.0%","0","0.0%","0.0%"
"Curtis Samuel","BUF","1","20.0%","0","0.0%","1.7%","0","0.0%","0","0.0%","0.0%"
"Jonnu Smith","MIA","1","50.0%","0","0.0%","2.5%","0","0.0%","0","0.0%","0.0%"
"Cooper Rush","DAL","2","7.7%","0","0.0%","7.7%","0","0.0%","0","0.0%","0.0%"
"Dare Ogunbowale","HOU","2","6.7%","0","0.0%","5.1%","0","0.0%","0","0.0%","0.0%"
"Calvin Ridley","TEN","1","12.5%","1","100.0%","4.0%","0","0.0%","0","0.0%","0.0%"
"Mark Andrews","BAL","1","25.0%","0","0.0%","2.2%","0","0.0%","0","0.0%","0.0%"
"Mike Boone","CAR","1","7.7%","0","0.0%","5.0%","0","0.0%","0","0.0%","0.0%"
"Jeff Wilson Jr.","MIA","2","12.5%","0","0.0%","5.0%","0","0.0%","0","0.0%","0.0%"
"Gardner Minshew","LV","1","5.3%","0","0.0%","4.5%","0","0.0%","0","0.0%","0.0%"
"Darius Slayton","NYG","1","50.0%","0","0.0%","3.0%","0","0.0%","0","0.0%","0.0%"
"Greg Dortch","ARI","1","20.0%","0","0.0%","3.4%","0","0.0%","0","0.0%","0.0%"
"J.J. Taylor","HOU","1","10.0%","0","0.0%","14.3%","0","0.0%","0","0.0%","0.0%"
"Ty Chandler","MIN","2","3.6%","0","0.0%","5.6%","0","0.0%","0","0.0%","0.0%"
"Desmond Ridder","LV","1","11.1%","0","0.0%","4.5%","0","0.0%","0","0.0%","0.0%"
"Davis Mills","HOU","1","33.3%","0","0.0%","2.6%","0","0.0%","0","0.0%","0.0%"
"Ronnie Rivers","LAR","1","4.5%","0","0.0%","2.4%","0","0.0%","0","0.0%","0.0%"
"Jaylen Waddle","MIA","1","25.0%","0","0.0%","2.5%","0","0.0%","0","0.0%","0.0%"
"Jordan Addison","MIN","1","33.3%","1","100.0%","2.8%","0","0.0%","0","0.0%","0.0%"
"Dameon Pierce","HOU","1","2.5%","0","0.0%","2.6%","0","0.0%","0","0.0%","0.0%"
"Dorian Thompson-Robinson","CLE","1","4.8%","0","0.0%","3.1%","0","0.0%","0","0.0%","0.0%"
"Jayden Reed","GB","1","5.0%","0","0.0%","1.7%","0","0.0%","0","0.0%","0.0%"
"Will Levis","TEN","2","4.4%","0","0.0%","8.0%","0","0.0%","0","0.0%","0.0%"
"Derius Davis","LAC","1","8.3%","0","0.0%","2.2%","0","0.0%","0","0.0%","0.0%"
"Kendre Miller","NO","1","2.6%","1","100.0%","11.1%","0","0.0%","0","0.0%","0.0%"
"Malik Nabers","NYG","1","20.0%","0","0.0%","3.0%","0","0.0%","0","0.0%","0.0%"
"Kimani Vidal","LAC","1","2.3%","0","0.0%","2.2%","0","0.0%","0","0.0%","0.0%"
"Terrell Jennings","NE","1","7.7%","0","0.0%","25.0%","0","0.0%","0","0.0%","0.0%"
