"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Ja'Marr Chase","CIN","36","20.6%","22","17.3%","61.1%","8","47.1%","17","9.7%","7","5.5%","41.2%","5","29.4%"
"Davante Adams","NYJ","25","17.7%","12","14.1%","48.0%","6","75.0%","16","11.3%","7","8.2%","43.8%","5","62.5%"
"Amon-Ra St. Brown","DET","32","22.7%","24","20.9%","75.0%","9","75.0%","15","10.6%","12","10.4%","80.0%","9","75.0%"
"Tee Higgins","CIN","24","22.0%","14","19.2%","58.3%","7","70.0%","14","12.8%","6","8.2%","42.9%","5","50.0%"
"Jonnu Smith","MIA","19","17.1%","15","17.0%","78.9%","7","87.5%","13","11.7%","9","10.2%","69.2%","7","87.5%"
"Justin Jefferson","MIN","24","15.6%","15","14.6%","62.5%","6","60.0%","12","7.8%","5","4.9%","41.7%","3","30.0%"
"Trey McBride","ARI","21","14.3%","11","9.9%","52.4%","2","100.0%","12","8.2%","4","3.6%","33.3%","2","100.0%"
"George Kittle","SF","21","22.3%","18","23.1%","85.7%","8","100.0%","11","11.7%","8","10.3%","72.7%","6","75.0%"
"Mike Evans","TB","15","13.6%","8","10.8%","53.3%","7","63.6%","10","9.1%","6","8.1%","60.0%","6","54.5%"
"Hunter Henry","NE","18","18.6%","10","15.2%","55.6%","2","100.0%","10","10.3%","5","7.6%","50.0%","2","100.0%"
"Garrett Wilson","NYJ","23","14.9%","12","11.9%","52.2%","4","57.1%","10","6.5%","6","5.9%","60.0%","4","57.1%"
"Drake London","ATL","25","15.8%","15","15.0%","60.0%","7","77.8%","10","6.3%","4","4.0%","40.0%","4","44.4%"
"Andrei Iosivas","CIN","10","16.4%","7","19.4%","70.0%","6","100.0%","10","16.4%","7","19.4%","70.0%","6","100.0%"
"Malik Nabers","NYG","15","8.8%","6","5.5%","40.0%","3","42.9%","10","5.9%","4","3.7%","40.0%","3","42.9%"
"Zach Ertz","WAS","20","22.0%","13","19.7%","65.0%","7","100.0%","9","9.9%","6","9.1%","66.7%","6","85.7%"
"Travis Kelce","KC","26","19.5%","19","19.6%","73.1%","3","100.0%","9","6.8%","7","7.2%","77.8%","2","66.7%"
"Tyreek Hill","MIA","18","14.6%","9","11.1%","50.0%","5","83.3%","9","7.3%","5","6.2%","55.6%","4","66.7%"
"Courtland Sutton","DEN","22","16.3%","13","16.0%","59.1%","7","87.5%","9","6.7%","7","8.6%","77.8%","4","50.0%"
"Diontae Johnson","HOU","12","17.9%","3","9.1%","25.0%","2","66.7%","9","13.4%","2","6.1%","22.2%","2","66.7%"
"Nico Collins","HOU","13","13.1%","7","10.3%","53.8%","5","71.4%","9","9.1%","5","7.4%","55.6%","5","71.4%"
"Sam LaPorta","DET","19","22.9%","12","20.0%","63.2%","5","71.4%","9","10.8%","5","8.3%","55.6%","4","57.1%"
"Jordan Addison","MIN","18","18.2%","16","25.4%","88.9%","6","66.7%","9","9.1%","8","12.7%","88.9%","4","44.4%"
"Wan'Dale Robinson","NYG","18","12.9%","11","11.8%","61.1%","3","100.0%","9","6.4%","5","5.4%","55.6%","3","100.0%"
"Brian Thomas Jr.","JAX","16","12.0%","11","12.6%","68.8%","8","80.0%","9","6.8%","5","5.7%","55.6%","4","40.0%"
