"Name","Team","TGT%","CMP%","TGT%","CMP%","TGT%","CMP%"
"Arizona Cardinals","ARI","48%","41%","18%","22%","34%","37%"
"Atlanta Falcons","ATL","68%","65%","16%","20%","16%","15%"
"Baltimore Ravens","BAL","52%","46%","18%","20%","30%","33%"
"Buffalo Bills","BUF","60%","58%","17%","20%","24%","22%"
"Carolina Panthers","CAR","66%","62%","17%","21%","17%","18%"
"Chicago Bears","CHI","72%","66%","15%","18%","13%","16%"
"Cincinnati Bengals","CIN","59%","53%","16%","19%","25%","28%"
"Cleveland Browns","CLE","60%","56%","14%","16%","26%","28%"
"Dallas Cowboys","DAL","64%","59%","14%","17%","22%","24%"
"Denver Broncos","DEN","66%","61%","21%","25%","13%","13%"
"Detroit Lions","DET","60%","57%","21%","24%","19%","19%"
"Green Bay Packers","GB","66%","61%","16%","19%","19%","20%"
"Houston Texans","HOU","62%","63%","17%","18%","20%","20%"
"Indianapolis Colts","IND","71%","71%","13%","16%","15%","14%"
"Jacksonville Jaguars","JAX","58%","53%","16%","17%","26%","30%"
"Kansas City Chiefs","KC","50%","47%","17%","17%","34%","36%"
"Las Vegas Raiders","LV","48%","43%","19%","22%","34%","35%"
"Los Angeles Chargers","LAC","66%","61%","12%","14%","22%","25%"
"Los Angeles Rams","LAR","74%","73%","10%","13%","15%","14%"
"Miami Dolphins","MIA","50%","45%","23%","28%","27%","27%"
"Minnesota Vikings","MIN","61%","57%","17%","20%","23%","23%"
"New England Patriots","NE","51%","47%","17%","19%","32%","33%"
"New Orleans Saints","NO","49%","43%","28%","31%","23%","27%"
"New York Giants","NYG","73%","69%","16%","19%","12%","13%"
"New York Jets","NYJ","62%","59%","20%","22%","18%","19%"
"Philadelphia Eagles","PHI","63%","60%","17%","18%","21%","23%"
"Pittsburgh Steelers","PIT","50%","43%","24%","27%","26%","30%"
"San Francisco 49ers","SF","61%","56%","18%","18%","21%","26%"
"Seattle Seahawks","SEA","61%","57%","19%","22%","20%","21%"
"Tampa Bay Buccaneers","TB","60%","55%","21%","26%","19%","18%"
"Tennessee Titans","TEN","56%","49%","19%","22%","25%","29%"
"Washington Commanders","WAS","63%","60%","16%","18%","22%","22%"
